wbc_category,wbc_year_win,medal,wbc_name,wbc_brewery,wbctoratebeer_name_brewery
american ipa,2002,gold,Wipeout IPA,Pizza Port - Carlsbad Brewery,Port Brewing Wipeout IPA
american ipa,2002,silver,Hoptown IPA,HopTown Brewing Company,HopTown IPA
american ipa,2002,bronze,Big Eye IPA,Ballast Point Brewing Company,Ballast Point Big Eye IPA
american pale ale,2002,gold,Piston Pale Ale,Laurelwood Public House & Brewery,Laurelwood Piston Pale Ale
american pale ale,2002,silver,Bridge Port India Pale Ale,Bridge Port Brewing Company,BridgePort IPA
american pale ale,2002,bronze,Mt. Tam Pale Ale,Marin Brewing Company,Marin Mt. Tam Pale Ale
dubbel,2002,gold,Abbey Belgian Style Ale,New Belgium Brewing Company ,New Belgium Abbey
dubbel,2002,silver,Maudite,Unibroue Inc.,Unibroue Maudite
dubbel,2002,bronze,Devil’s Dubbel,Angelic Brewing Company,Angelic Devils Dubbel
esb,2002,gold,Baby Fitz ESB,Big Horn Brewing Company,Big Horn Baby Fitz ESB
esb,2002,bronze,Bobby Magee’s ESB,Zig’s Kettle & Brew,Zigs Bobby Magees ESB
imperial stout,2002,gold,Imperial Stout,Rogue Ales,Rogue Imperial Stout
imperial stout,2002,silver,Brooklyn Black Chocolate Stout,Brooklyn Brewery,Brooklyn Black Chocolate Stout
imperial stout,2002,bronze,Old Rasputin Russian Imperial Stout,North Coast Brewing,North Coast Old Rasputin Russian Imperial Stout
strong ale,2002,gold,Dizzy Lizzy Barleywine,Boulder Creek Brewing Company,Boulder Creek Dizzy Lizzy Barleywine
strong ale,2002,silver,Sopris,Glenwood Canyon Brewing Company,Glenwood Canyon Sopris Strong Ale
strong ale,2002,bronze,Old Stock Ale,North Coast Brewing,North Coast Old Stock Ale
american ipa,2004,gold,Wipeout IPA,Pizza Port - Carlsbad,Port Brewing Wipeout IPA
american ipa,2004,silver,Racer 5 I.P.A.,Bear Republic Brewing Co.,Bear Republic Racer 5
american ipa,2004,bronze,Drake's I.P.A.,Drake's Brewing Co.,Drakes IPA
belgian sour,2004,gold,La Folie,New Belgium Brewing Co.,New Belgium La Folie
belgian sour,2004,silver,Boon Geuze Mariage Parfait,Boon Brouwerij N.V.,Boon Oude Geuze Mariage Parfait
belgian sour,2004,bronze,Framboise de Hill,Iron Hill Brewery & Restaurant,Iron Hill Framboise de Hill
